name,brand,price (đ),link_item,link_img,resolution,size,rate,quantity_sale,original price (đ),discount percent
Điện thoại realme C75 8GB/128GB,realme,5690000,https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/332234/realme-c75-red-thumb-600x600.jpg,Full HD+,6.72,4.9,15100.0,0,0
Điện thoại vivo V40 Lite 8GB/256GB,vivo,8490000,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329959/vivo-v40-lite-bac-thumb-600x600.jpg,Full HD+,6.67,4.9,20300.0,0,0
Điện thoại HONOR X9c Smart 5G 12GB/256GB,HONOR,7990000,https://www.thegioididong.com/dtdd/honor-x9c-smart,https://cdn.tgdd.vn/Products/Images/42/333480/honor-x9c-smart-xanh-thumb-600x600.jpg,Full HD+,6.8,5.0,0.0,0,0
Điện thoại Tecno Spark GO 1 3GB/64GB,Tecno,1890000,https://www.thegioididong.com/dtdd/tecno-spark-go-1,https://cdn.tgdd.vn/Products/Images/42/329865/tecno-spark-go-1-white-thumb-600x600.jpg,HD+,6.67,4.9,7600.0,0,0
Điện thoại TCL 406s 4GB/64GB,TCL,1890000,https://www.thegioididong.com/dtdd/tcl-406s,https://cdn.tgdd.vn/Products/Images/42/324994/tcl-406s-blue-thumb-600x600.jpg,HD+,6.6,4.9,6000.0,0,0
Điện thoại iPhone 16 Plus 128GB,iPhone (Apple),24790000,https://www.thegioididong.com/dtdd/iphone-16-plus,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-hong-thumb-600x600.jpg,Super Retina XDR,6.7,4.9,4400.0,25990000,4
Điện thoại iPhone 16 128GB,iPhone (Apple),21490000,https://www.thegioididong.com/dtdd/iphone-16,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png,Super Retina XDR,6.1,4.9,6500.0,22990000,6
Điện thoại Samsung Galaxy A16 5G 8GB/256GB,Samsung,6990000,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumbnew-600x600.jpg,Full HD+,6.7,4.9,34600.0,0,0
Điện thoại Samsung Galaxy A06 4GB/64GB,Samsung,2890000,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumb-1-600x600.jpg,HD+,6.7,4.9,82400.0,3190000,9
Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,9490000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g,https://cdn.tgdd.vn/Products/Images/42/332938/xiaomi-redmi-note-14-pro-5g-xanh-thumbnew-600x600.jpg,1.5K,6.67,4.9,4100.0,0,0
Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,Xiaomi,10990000,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus,https://cdn.tgdd.vn/Products/Images/42/320731/xiaomi-redmi-note-14-pro-plus-5g-purple-thumbnew-600x600.jpg,1.5K,6.67,4.9,1400.0,0,0
Điện thoại OPPO Reno13 Pro 5G 12GB/512GB,OPPO,18990000,https://www.thegioididong.com/dtdd/oppo-reno13-pro-5g,https://cdn.tgdd.vn/Products/Images/42/332937/oppo-reno13-pro-5g-purple-thumb-600x600.jpg,1.5K,6.83,5.0,1200.0,0,0
