name,brand,price (đ),link_item,link_img,ram (GB),rom (GB),rom_type,rate,quantity_sale,original price (đ),discount percent
Laptop MacBook Air 15 inch M3 24GB/512GB,MacBook,41590000,https://www.thegioididong.com/laptop/macbook-air-15-inch-m3-24gb-512gb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331582/macbook-air-15-inch-m3-24gb-512gb-011124-123956-629-600x600.jpg,24,512,SSD ,5.0,10.0,42990000,0
Laptop Asus Vivobook S 14 S5406SA Ultra 7 258V/32GB/1TB/120Hz/OfficeHS/Win11 (PP059WS),Asus,33490000,https://www.thegioididong.com/laptop/asus-vivobook-s-14-s5406sa-ultra-7-pp059ws,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333099/asus-vivobook-s-14-s5406sa-ultra-7-pp059ws-thumb-638700321242400004-600x600.jpg,32,1024,SSD ,5.0,4.0,35990000,6
Laptop Asus Vivobook 14 A1405VA i3 1315U/8GB/512GB/Win11 (LY097W),Asus,12490000,https://www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w,https://cdn.tgdd.vn/Products/Images/44/306104/asus-vivobook-14-a1405va-i3-ly097w-thumb-lap-600x600.jpg,8,512,SSD ,4.9,451.0,14990000,16
Laptop Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX/32GB/1TB/16GB RTX4090/240Hz/Win11 (83DE001MVN),Lenovo,97990000,https://www.thegioididong.com/laptop/lenovo-legion-pro-7-16irx9h-i9-83de001mvn,https://cdn.tgdd.vn/Products/Images/44/326495/lenovo-legion-pro-7-16irx9h-i9-83de001mvn-thumb-600x600.jpg,32,1024,SSD ,5.0,3.0,106990000,8
Laptop Samsung Galaxy Chromebook Go XE310XDA N4500/4GB/32GB/ChromeOS,Samsung,7990000,https://www.thegioididong.com/laptop/samsung-galaxy-chromebook-go-xe310xda-n4500,https://cdn.tgdd.vn/Products/Images/44/328599/samsung-galaxy-chromebook-go-xe310xda-n4500-130924-030342-600x600.jpg,4,32,eMMC ,5.0,20.0,9990000,20
Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/8GB RTX4060/144Hz/Win11 (83JC003YVN),Lenovo,29190000,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83jc003yvn,https://cdn.tgdd.vn/Products/Images/44/329114/lenovo-loq-15iax9-i5-83jc003yvn-thumb-600x600.jpg,24,512,SSD ,5.0,4.0,31490000,7
Laptop Asus TUF Gaming A14 FA401WV R9 AI HX 370/32GB/1TB/8GB RTX4060/165Hz/OfficeHS/Balo/Win11 (RG061WS),Asus,42490000,https://www.thegioididong.com/laptop/asus-fa401wv-r9-ai-hx-370-rg061ws,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/329856/asus-fa401wv-r9-ai-hx-370-rg061ws-thumb-638621792123167604-600x600.jpg,32,1024,SSD ,0.0,0.0,46990000,9
Laptop Apple MacBook Pro 16 inch M4 Pro 24GB/1TB,MacBook,69990000,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m4-pro-24gb-1tb,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331575/macbook-pro-16-inch-m4-pro-24gb-1tb-011124-122524-620-600x600.jpg,24,1024,SSD ,5.0,8.0,0,0
Laptop Apple MacBook Pro 14 inch Nano M4 Max 36GB/1TB,MacBook,81790000,https://www.thegioididong.com/laptop/macbook-pro-14-nano-m4-max-36-1t,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332451/macbook-pro-14-nano-m4-max-36-1t-261124-030624-865-600x600.jpg,36,1024,SSD ,5.0,8.0,83790000,0
Laptop Apple MacBook Pro 16 inch Nano M4 Pro 24GB/512GB,MacBook,68490000,https://www.thegioididong.com/laptop/macbook-pro-16-nano-m4-pro-24-512,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332452/macbook-pro-16-nano-m4-pro-24-512-261124-032225-340-600x600.jpg,24,512,SSD ,5.0,6.0,68790000,0
Laptop Apple MacBook Pro 16 inch Nano M4 Max 36GB/1TB,MacBook,92790000,https://www.thegioididong.com/laptop/macbook-pro-16-nano-m4-max-36-1t,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332453/macbook-pro-16-nano-m4-max-36-1t-261124-034452-419-600x600.jpg,36,1024,SSD ,5.0,4.0,93790000,0
Laptop Dell Inspiron 14 5440 i5 1334U/16GB/512GB/OfficeHS/Win11 (NDY5V1),Dell,19490000,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-i5-ndy5v1,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333107/dell-inspiron-14-5440-i5-ndy5v1-thumb-638702058984641237-600x600.jpg,16,512,SSD ,5.0,4.0,20990000,7
Laptop HP Gaming VICTUS 16 r0128TX i5 13450HX/16GB/512GB/144Hz/6GB RTX4050/Win11 (8C5N3PA),HP,28990000,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0128tx-i5-8c5n3pa,https://cdn.tgdd.vn/Products/Images/44/313972/hp-gaming-victus-16-r0128tx-i5-8c5n3pa-thumb-1-600x600.jpg,16,512,SSD ,5.0,30.0,31690000,8
Laptop Dell Precision 15 3581 i7 13800H/32GB/1TB/4GB RTXA500/Win11 Pro (71024677),Dell,51490000,https://www.thegioididong.com/laptop/dell-precision-15-3581-i7-71024677,https://cdn.tgdd.vn/Products/Images/44/320183/dell-precision-15-3581-i7-71024677-thumb-600x600.jpg,32,1024,SSD ,5.0,3.0,57290000,10
Laptop HP Gaming VICTUS 16 r0228TX i5 13500H/32GB/512GB/6GB RTX4050/144Hz/Win11 (9Q979PA),HP,30990000,https://www.thegioididong.com/laptop/hp-victus-16-r0228tx-i5-9q979pa,https://cdn.tgdd.vn/Products/Images/44/323581/hp-victus-16-r0228tx-i5-9q979pa-thumb-600x600.jpg,32,512,SSD ,5.0,7.0,33290000,6
Laptop HP Gaming VICTUS 16 r0227TX i5 13500H/32GB/512GB/8GB RTX4060/144Hz/Win11 (9Q978PA),HP,32490000,https://www.thegioididong.com/laptop/hp-victus-16-r0227tx-i5-9q978pa,https://cdn.tgdd.vn/Products/Images/44/323582/hp-victus-16-r0227tx-i5-9q978pa-thumb-600x600.jpg,32,512,SSD ,5.0,17.0,34890000,6
Laptop HP Gaming VICTUS 16 s0138AX R7 7840HS/32GB/512GB/8GB RTX4070/144Hz/Win11 (9Q985PA),HP,37990000,https://www.thegioididong.com/laptop/hp-victus-16-s0138ax-r7-9q985pa,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/323584/hp-victus-16-s0138ax-r7-9q985pa-thumb-638647731971239434-600x600.jpg,32,512,SSD ,5.0,9.0,41390000,8
Laptop HP OMEN 16 xf0071AX R7 7840HS/32GB/1TB/8GB RTX4060/240Hz/Win11 (8W946PA),HP,51990000,https://www.thegioididong.com/laptop/hp-omen-16-xf0071ax-r7-8w946pa,https://cdn.tgdd.vn/Products/Images/44/323585/hp-omen-16-xf0071ax-r7-8w946pa-thumb-600x600.jpg,32,1024,SSD ,0.0,1.0,58890000,11
Laptop HP OMEN 16 xf0070AX R9 7940HS/32GB/1TB/8GB RTX4070/240Hz/Win11 (8W945PA),HP,55990000,https://www.thegioididong.com/laptop/hp-omen-16-xf0070ax-r9-8w945pa,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/323586/hp-omen-16-xf0070ax-r9-8w945pa-thumb-638647720407681790-600x600.jpg,32,1024,SSD ,5.0,4.0,62890000,10
Laptop Samsung Galaxy Chromebook Go XE340XDA N4500/4GB/32GB/ChromeOS,Samsung,8990000,https://www.thegioididong.com/laptop/samsung-galaxy-chromebook-go-xe340xda-n4500,https://cdn.tgdd.vn/Products/Images/44/328598/samsung-galaxy-chromebook-go-xe340xda-n4500-thumb-600x600.jpg,4,32,eMMC ,5.0,19.0,11990000,25
Laptop HP Probook 460 G11 Ultra 7 155U/16GB/512GB/Win11 (A74C0PT),HP,26990000,https://www.thegioididong.com/laptop/hp-probook-460-g11-ultra-7-a74c0pt,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331517/hp-probook-460-g11-ultra-7-a74c0pt-thumb-638661781536815180-600x600.jpg,16,512,SSD ,5.0,3.0,27690000,0
Laptop HP Elitebook X360 830 G11 Ultra 7 165U/16GB/512GB/Touch/Pen/Win11 Pro (A7RC0PT),HP,45990000,https://www.thegioididong.com/laptop/hp-elitebook-x360-830-g11-ultra-7-a7rc0pt,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331523/hp-elitebook-x360-830-g11-ultra-7-a7rc0pt-thumb-638661786769276175-600x600.jpg,16,512,SSD ,0.0,1.0,48990000,6
Laptop HP Envy X360 14 fa0097AU R5 8640HS/16GB/512GB/Touch/Pen/Office365/Win11 (AY8U7PA),HP,27390000,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0097au-r5-ay8u7pa,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331526/hp-envy-x360-14-fa0097au-r5-ay8u7pa-thumb-638659861203701949-600x600.jpg,16,512,SSD ,0.0,1.0,29590000,7
Laptop Asus ROG Flow X16 GV601VV i9 13900H/16GB/1TB/8GB RTX4060/240Hz/Touch/Pen/Win11 (NF044W),Asus,50990000,https://www.thegioididong.com/laptop/asus-rog-flow-x16-gv601vv-i9-nf044w,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333096/asus-rog-flow-x16-gv601vv-i9-nf044w-thumb-638700326394928065-600x600.jpg,16,1024,SSD ,0.0,2.0,54990000,7
Laptop MSI Modern 15 B12MO i7 1255U/16GB/512GB/Win11 (487VN),MSI,15190000,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i7-487vn,https://cdn.tgdd.vn/Products/Images/44/310450/msi-modern-15-b12mo-i7-487vn-thumb-1-600x600.jpg,16,512,SSD ,4.9,979.0,19490000,22
Laptop Apple MacBook Pro 16 inch M3 Max 96GB/1TB,MacBook,98490000,https://www.thegioididong.com/laptop/apple-macbook-pro-16-inch-m3-max-96gb-1tb,https://cdn.tgdd.vn/Products/Images/44/325307/apple-macbook-pro-16-inch-m3-max-96gb-1tb-thumb-600x600.jpg,96,1024,SSD ,5.0,6.0,109990000,10
Laptop Lenovo Thinkpad X13 Ultra 7 155H/32GB/1TB/Touch/Win11 Pro (21LU004LVN),Lenovo,44590000,https://www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-7-21lu004lvn,https://cdn.tgdd.vn/Products/Images/44/329113/lenovo-thinkpad-x13-ultra-7-21lu004lvn-thumb-600x600.jpg,32,1024,SSD ,5.0,4.0,45590000,0
Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I7240W1),Dell,21490000,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7240w1,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331507/dell-inspiron-15-3530-i7-n5i7240w1-thumb-638661792461431344-600x600.jpg,16,512,SSD ,0.0,0.0,22390000,0
Laptop HP Elitebook X360 830 G11 Ultra 5 135U/16GB/512GB/Touch/Pen/Win11 Pro (A7RB9PT),HP,41490000,https://www.thegioididong.com/laptop/hp-elitebook-x360-830-g11-ultra-5-a7rb9pt,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331522/hp-elitebook-x360-830-g11-ultra-5-a7rb9pt-021124-091126-961-600x600.jpg,16,512,SSD ,0.0,0.0,43990000,5
